time,tags,ozone,carbon_monoxide
2019-03-31 18:25:25.942,actual=green,51.0,126.0
2019-03-31 18:25:26.442,actual=green,48.0,121.0
2019-03-31 18:25:26.942,actual=green,49.0,118.0
2019-03-31 18:25:27.442,actual=green,52.0,123.0
2019-03-31 18:25:27.942,actual=green,48.0,126.0
2019-03-31 18:25:28.442,actual=green,47.0,126.0
2019-03-31 18:25:28.942,actual=green,42.0,125.0
2019-03-31 18:25:29.442,actual=green,40.0,129.0
2019-03-31 18:25:29.942,actual=green,42.0,130.0
2019-03-31 18:25:30.442,actual=green,37.0,128.0
2019-03-31 18:25:30.942,actual=green,37.0,123.0
2019-03-31 18:25:31.442,actual=green,36.0,125.0
2019-03-31 18:25:31.942,actual=green,38.0,125.0
2019-03-31 18:25:32.442,actual=green,38.0,121.0
2019-03-31 18:25:32.942,actual=green,43.0,123.0
2019-03-31 18:25:33.442,actual=green,41.0,118.0
2019-03-31 18:25:33.942,actual=green,40.0,123.0
2019-03-31 18:25:34.442,actual=green,35.0,127.0
2019-03-31 18:25:34.942,actual=green,40.0,129.0
2019-03-31 18:25:35.442,actual=green,40.0,131.0
2019-03-31 18:25:35.942,actual=green,43.0,132.0
2019-03-31 18:25:36.442,actual=green,45.0,128.0
2019-03-31 18:25:36.942,actual=green,46.0,126.0
2019-03-31 18:25:37.442,actual=green,41.0,122.0
2019-03-31 18:25:37.942,actual=green,44.0,121.0
2019-03-31 18:25:38.442,actual=green,40.0,118.0
2019-03-31 18:25:38.942,actual=green,42.0,118.0
2019-03-31 18:25:39.442,actual=green,41.0,114.0
2019-03-31 18:25:39.942,actual=green,44.0,114.0
2019-03-31 18:25:40.442,actual=green,46.0,111.0
2019-03-31 18:25:40.942,actual=green,42.0,111.0
2019-03-31 18:25:41.442,actual=green,46.0,112.0
2019-03-31 18:25:41.942,actual=green,48.0,108.0
2019-03-31 18:25:42.442,actual=green,52.0,107.0
2019-03-31 18:25:42.942,actual=green,50.0,106.0
2019-03-31 18:25:43.442,actual=green,53.0,111.0
2019-03-31 18:25:43.942,actual=green,48.0,109.0
2019-03-31 18:25:44.442,actual=green,47.0,105.0
2019-03-31 18:25:44.942,actual=green,50.0,101.0
2019-03-31 18:25:45.442,actual=green,52.0,101.0
2019-03-31 18:25:45.942,actual=green,51.0,99.0
2019-03-31 18:25:46.442,actual=green,52.0,94.0
2019-03-31 18:25:46.942,actual=green,53.0,99.0
2019-03-31 18:25:47.442,actual=green,58.0,104.0
2019-03-31 18:25:47.942,actual=green,58.0,103.0
2019-03-31 18:25:48.442,actual=green,55.0,102.0
2019-03-31 18:25:48.942,actual=green,52.0,100.0
2019-03-31 18:25:49.442,actual=green,48.0,105.0
2019-03-31 18:25:49.942,actual=green,45.0,104.0
2019-03-31 18:25:50.442,actual=green,47.0,99.0
2019-03-31 18:25:50.942,actual=green,52.0,97.0
2019-03-31 18:25:51.442,actual=green,57.0,93.0
2019-03-31 18:25:51.942,actual=green,62.0,92.0
2019-03-31 18:25:52.442,actual=green,59.0,94.0
2019-03-31 18:25:52.942,actual=green,61.0,91.0
2019-03-31 18:25:53.442,actual=green,62.0,86.0
2019-03-31 18:25:53.942,actual=green,58.0,90.0
2019-03-31 18:25:54.442,actual=green,59.0,89.0
2019-03-31 18:25:54.942,actual=green,58.0,87.0
2019-03-31 18:25:55.442,actual=green,57.0,88.0
2019-03-31 18:25:55.942,actual=green,58.0,89.0
2019-03-31 18:25:56.442,actual=green,60.0,93.0
2019-03-31 18:25:56.942,actual=green,63.0,93.0
2019-03-31 18:25:57.442,actual=green,66.0,95.0
2019-03-31 18:25:57.942,actual=green,68.0,100.0
2019-03-31 18:25:58.442,actual=green,71.0,96.0
2019-03-31 18:25:58.942,actual=green,75.0,91.0
2019-03-31 18:25:59.442,actual=green,70.0,95.0
2019-03-31 18:25:59.942,actual=green,74.0,96.0
2019-03-31 18:26:00.442,actual=green,73.0,95.0
2019-03-31 18:26:00.942,actual=green,77.0,98.0
2019-03-31 18:26:01.442,actual=green,75.0,100.0
2019-03-31 18:26:01.942,actual=green,71.0,103.0
2019-03-31 18:26:02.442,actual=green,71.0,99.0
2019-03-31 18:26:02.942,actual=green,73.0,99.0
2019-03-31 18:26:03.442,actual=green,70.0,99.0
2019-03-31 18:26:03.942,actual=green,73.0,100.0
2019-03-31 18:26:04.442,actual=green,68.0,101.0
2019-03-31 18:26:04.942,actual=green,69.0,96.0
2019-03-31 18:26:05.442,actual=green,73.0,98.0
2019-03-31 18:26:05.942,actual=green,68.0,101.0
2019-03-31 18:26:06.442,actual=green,68.0,104.0
2019-03-31 18:26:06.942,actual=green,71.0,106.0
2019-03-31 18:26:07.442,actual=green,70.0,109.0
2019-03-31 18:26:07.942,actual=green,70.0,109.0
2019-03-31 18:26:08.442,actual=green,73.0,108.0
2019-03-31 18:26:08.942,actual=green,78.0,113.0
2019-03-31 18:26:09.442,actual=green,82.0,108.0
2019-03-31 18:26:09.942,actual=green,80.0,111.0
2019-03-31 18:26:10.442,actual=green,81.0,109.0
2019-03-31 18:26:10.942,actual=green,80.0,108.0
2019-03-31 18:26:11.442,actual=green,76.0,103.0
2019-03-31 18:26:11.942,actual=green,71.0,99.0
2019-03-31 18:26:12.442,actual=green,73.0,104.0
2019-03-31 18:26:12.942,actual=green,73.0,102.0
2019-03-31 18:26:13.442,actual=green,69.0,103.0
2019-03-31 18:26:13.942,actual=green,64.0,102.0
2019-03-31 18:26:14.442,actual=green,59.0,98.0
2019-03-31 18:26:14.942,actual=green,57.0,99.0
2019-03-31 18:26:15.442,actual=green,52.0,96.0
2019-03-31 18:26:15.942,actual=green,47.0,93.0
2019-03-31 18:26:16.442,actual=green,45.0,90.0
2019-03-31 18:26:16.942,actual=green,40.0,92.0
2019-03-31 18:26:17.442,actual=green,40.0,90.0
2019-03-31 18:26:17.942,actual=green,41.0,95.0
2019-03-31 18:26:18.442,actual=green,36.0,99.0
2019-03-31 18:26:18.942,actual=green,41.0,97.0
2019-03-31 18:26:19.442,actual=green,45.0,96.0
2019-03-31 18:26:19.942,actual=green,48.0,94.0
2019-03-31 18:26:20.442,actual=green,46.0,98.0
2019-03-31 18:26:20.942,actual=green,43.0,101.0
2019-03-31 18:26:21.442,actual=green,41.0,105.0
2019-03-31 18:26:21.942,actual=green,39.0,101.0
2019-03-31 18:26:22.442,actual=green,40.0,102.0
2019-03-31 18:26:22.942,actual=green,42.0,102.0
2019-03-31 18:26:23.442,actual=green,40.0,104.0
2019-03-31 18:26:23.942,actual=green,41.0,103.0
2019-03-31 18:26:24.442,actual=green,39.0,102.0
2019-03-31 18:26:24.942,actual=green,36.0,100.0
2019-03-31 18:26:25.442,actual=green,35.0,95.0
2019-03-31 18:26:25.942,actual=green,30.0,93.0
2019-03-31 18:26:26.442,actual=green,31.0,94.0
2019-03-31 18:26:26.942,actual=green,30.0,95.0
2019-03-31 18:26:27.442,actual=green,35.0,91.0
2019-03-31 18:26:27.942,actual=green,35.0,92.0
2019-03-31 18:26:28.442,actual=green,33.0,90.0
2019-03-31 18:26:28.942,actual=green,28.0,94.0
2019-03-31 18:26:29.442,actual=green,31.0,92.0
2019-03-31 18:26:29.942,actual=green,26.0,89.0
2019-03-31 18:26:30.442,actual=green,28.0,91.0
2019-03-31 18:26:30.942,actual=green,32.0,88.0
2019-03-31 18:26:31.442,actual=green,35.0,88.0
2019-03-31 18:26:31.942,actual=green,34.0,89.0
2019-03-31 18:26:32.442,actual=green,36.0,86.0
2019-03-31 18:26:32.942,actual=green,36.0,85.0
2019-03-31 18:26:33.442,actual=green,35.0,83.0
2019-03-31 18:26:33.942,actual=green,40.0,85.0
2019-03-31 18:26:34.442,actual=green,39.0,85.0
2019-03-31 18:26:34.942,actual=green,44.0,90.0
2019-03-31 18:26:35.442,actual=green,49.0,89.0
2019-03-31 18:26:35.942,actual=green,53.0,85.0
2019-03-31 18:26:36.442,actual=green,54.0,88.0
2019-03-31 18:26:36.942,actual=green,59.0,92.0
2019-03-31 18:26:37.442,actual=green,57.0,95.0
2019-03-31 18:26:37.942,actual=green,56.0,95.0
2019-03-31 18:26:38.442,actual=green,61.0,98.0
2019-03-31 18:26:38.942,actual=green,57.0,98.0
2019-03-31 18:26:39.442,actual=green,60.0,96.0
2019-03-31 18:26:39.942,actual=green,61.0,94.0
2019-03-31 18:26:40.442,actual=green,63.0,99.0
2019-03-31 18:26:40.942,actual=green,63.0,102.0
2019-03-31 18:26:41.442,actual=green,61.0,103.0
2019-03-31 18:26:41.942,actual=green,58.0,105.0
2019-03-31 18:26:42.442,actual=green,55.0,104.0
2019-03-31 18:26:42.942,actual=green,53.0,108.0
2019-03-31 18:26:43.442,actual=green,50.0,103.0
2019-03-31 18:26:43.942,actual=green,54.0,100.0
2019-03-31 18:26:44.442,actual=green,49.0,105.0
2019-03-31 18:26:44.942,actual=green,46.0,102.0
2019-03-31 18:26:45.442,actual=green,42.0,101.0
2019-03-31 18:26:45.942,actual=green,38.0,103.0
2019-03-31 18:26:46.442,actual=green,33.0,99.0
2019-03-31 18:26:46.942,actual=green,31.0,96.0
2019-03-31 18:26:47.442,actual=green,30.0,91.0
2019-03-31 18:26:47.942,actual=green,27.0,91.0
2019-03-31 18:26:48.442,actual=green,31.0,96.0
2019-03-31 18:26:48.942,actual=green,30.0,91.0
2019-03-31 18:26:49.442,actual=green,28.0,90.0
2019-03-31 18:26:49.942,actual=green,23.0,93.0
2019-03-31 18:26:50.442,actual=green,20.0,89.0
2019-03-31 18:26:50.942,actual=green,25.0,89.0
2019-03-31 18:26:51.442,actual=green,29.0,84.0
2019-03-31 18:26:51.942,actual=green,34.0,82.0
2019-03-31 18:26:52.442,actual=green,38.0,79.0
2019-03-31 18:26:52.942,actual=green,39.0,80.0
2019-03-31 18:26:53.442,actual=green,38.0,80.0
2019-03-31 18:26:53.942,actual=green,37.0,75.0
2019-03-31 18:26:54.442,actual=green,38.0,79.0
2019-03-31 18:26:54.942,actual=green,35.0,78.0
2019-03-31 18:26:55.442,actual=green,30.0,81.0
2019-03-31 18:26:55.942,actual=green,31.0,79.0
2019-03-31 18:26:56.442,actual=green,36.0,77.0
2019-03-31 18:26:56.942,actual=green,35.0,77.0
2019-03-31 18:26:57.442,actual=green,33.0,72.0
2019-03-31 18:26:57.942,actual=green,29.0,76.0
2019-03-31 18:26:58.442,actual=green,29.0,76.0
2019-03-31 18:26:58.942,actual=green,27.0,77.0
2019-03-31 18:26:59.442,actual=green,23.0,80.0
2019-03-31 18:26:59.942,actual=green,21.0,85.0
2019-03-31 18:27:00.442,actual=green,20.0,82.0
2019-03-31 18:27:00.942,actual=green,18.0,78.0
2019-03-31 18:27:01.442,actual=green,28.0,78.0
2019-03-31 18:27:01.942,actual=green,31.0,75.0
2019-03-31 18:27:02.442,actual=green,27.0,76.0
2019-03-31 18:27:02.942,actual=green,29.0,76.0
2019-03-31 18:27:03.442,actual=green,34.0,74.0
2019-03-31 18:27:03.942,actual=green,36.0,75.0
2019-03-31 18:27:04.442,actual=green,32.0,75.0
2019-03-31 18:27:04.942,actual=green,37.0,70.0
2019-03-31 18:27:05.442,actual=green,41.0,74.0
2019-03-31 18:27:05.942,actual=green,41.0,71.0
2019-03-31 18:27:06.442,actual=green,46.0,76.0
2019-03-31 18:27:06.942,actual=green,46.0,81.0
2019-03-31 18:27:07.442,actual=green,43.0,84.0
2019-03-31 18:27:07.942,actual=green,45.0,88.0
2019-03-31 18:27:08.442,actual=green,44.0,89.0
2019-03-31 18:27:08.942,actual=green,47.0,92.0
2019-03-31 18:27:09.442,actual=green,43.0,92.0
2019-03-31 18:27:09.942,actual=green,41.0,96.0
2019-03-31 18:27:10.442,actual=green,45.0,95.0
2019-03-31 18:27:10.942,actual=green,44.0,96.0
2019-03-31 18:27:11.442,actual=green,48.0,97.0
2019-03-31 18:27:11.942,actual=green,45.0,102.0
2019-03-31 18:27:12.442,actual=green,46.0,100.0
2019-03-31 18:27:12.942,actual=green,43.0,104.0
2019-03-31 18:27:13.442,actual=green,39.0,101.0
2019-03-31 18:27:13.942,actual=green,34.0,106.0
2019-03-31 18:27:14.442,actual=green,35.0,102.0
2019-03-31 18:27:14.942,actual=green,39.0,107.0
2019-03-31 18:27:15.442,actual=green,39.0,102.0
2019-03-31 18:27:15.942,actual=green,43.0,99.0
2019-03-31 18:27:16.442,actual=green,39.0,95.0
2019-03-31 18:27:16.942,actual=green,39.0,98.0
2019-03-31 18:27:17.442,actual=green,35.0,94.0
2019-03-31 18:27:17.942,actual=green,37.0,93.0
2019-03-31 18:27:18.442,actual=green,34.0,88.0
2019-03-31 18:27:18.942,actual=green,34.0,90.0
2019-03-31 18:27:19.442,actual=green,39.0,94.0
2019-03-31 18:27:19.942,actual=green,35.0,98.0
2019-03-31 18:27:20.442,actual=green,34.0,96.0
2019-03-31 18:27:20.942,actual=green,39.0,93.0
2019-03-31 18:27:21.442,actual=green,36.0,89.0
2019-03-31 18:27:21.942,actual=green,40.0,85.0
2019-03-31 18:27:22.442,actual=green,35.0,83.0
2019-03-31 18:27:22.942,actual=green,30.0,86.0
2019-03-31 18:27:23.442,actual=green,31.0,84.0
2019-03-31 18:27:23.942,actual=green,33.0,83.0
2019-03-31 18:27:24.442,actual=green,32.0,85.0
2019-03-31 18:27:24.942,actual=green,27.0,89.0
2019-03-31 18:27:25.442,actual=green,27.0,84.0
2019-03-31 18:27:25.942,actual=green,27.0,80.0
2019-03-31 18:27:26.442,actual=green,27.0,85.0
2019-03-31 18:27:26.942,actual=green,29.0,87.0
2019-03-31 18:27:27.442,actual=green,30.0,91.0
2019-03-31 18:27:27.942,actual=green,34.0,92.0
2019-03-31 18:27:28.442,actual=green,34.0,87.0
2019-03-31 18:27:28.942,actual=green,36.0,89.0
2019-03-31 18:27:29.442,actual=green,32.0,93.0
2019-03-31 18:27:29.942,actual=green,27.0,94.0
2019-03-31 18:27:30.442,actual=green,27.0,91.0
2019-03-31 18:27:30.942,actual=green,29.0,89.0
2019-03-31 18:27:31.442,actual=green,25.0,89.0
2019-03-31 18:27:31.942,actual=green,28.0,85.0
2019-03-31 18:27:32.442,actual=green,28.0,81.0
2019-03-31 18:27:32.942,actual=green,24.0,85.0
2019-03-31 18:27:33.442,actual=green,29.0,89.0
2019-03-31 18:27:33.942,actual=green,33.0,94.0
2019-03-31 18:27:34.442,actual=green,28.0,93.0
2019-03-31 18:27:34.942,actual=green,23.0,94.0
2019-03-31 18:27:35.442,actual=green,28.0,91.0
2019-03-31 18:27:35.942,actual=green,28.0,87.0
2019-03-31 18:27:36.442,actual=green,23.0,92.0
2019-03-31 18:27:36.942,actual=green,22.0,90.0
2019-03-31 18:27:37.442,actual=green,25.0,89.0
2019-03-31 18:27:37.942,actual=green,23.0,86.0
2019-03-31 18:27:38.442,actual=green,27.0,86.0
2019-03-31 18:27:38.942,actual=green,25.0,90.0
2019-03-31 18:27:39.442,actual=green,23.0,91.0
2019-03-31 18:27:39.942,actual=green,18.0,96.0
2019-03-31 18:27:40.442,actual=green,21.0,100.0
2019-03-31 18:27:40.942,actual=green,21.0,97.0
2019-03-31 18:27:41.442,actual=green,25.0,101.0
2019-03-31 18:27:41.942,actual=green,20.0,103.0
2019-03-31 18:27:42.442,actual=green,15.0,108.0
2019-03-31 18:27:42.942,actual=green,19.0,107.0
2019-03-31 18:27:43.442,actual=green,28.0,109.0
2019-03-31 18:27:43.942,actual=green,33.0,112.0
2019-03-31 18:27:44.442,actual=green,28.0,116.0
2019-03-31 18:27:44.942,actual=green,27.0,112.0
2019-03-31 18:27:45.442,actual=green,32.0,110.0
2019-03-31 18:27:45.942,actual=green,37.0,115.0
2019-03-31 18:27:46.442,actual=green,33.0,113.0
2019-03-31 18:27:46.942,actual=green,38.0,115.0
2019-03-31 18:27:47.442,actual=green,40.0,120.0
2019-03-31 18:27:47.942,actual=green,41.0,119.0
2019-03-31 18:27:48.442,actual=green,39.0,115.0
2019-03-31 18:27:48.942,actual=green,42.0,114.0
2019-03-31 18:27:49.442,actual=green,37.0,112.0
2019-03-31 18:27:49.942,actual=green,41.0,113.0
2019-03-31 18:27:50.442,actual=green,45.0,111.0
2019-03-31 18:27:50.942,actual=green,41.0,111.0
2019-03-31 18:27:51.442,actual=green,44.0,107.0
2019-03-31 18:27:51.942,actual=green,43.0,110.0
2019-03-31 18:27:52.442,actual=green,41.0,114.0
2019-03-31 18:27:52.942,actual=green,37.0,111.0
2019-03-31 18:27:53.442,actual=green,41.0,109.0
2019-03-31 18:27:53.942,actual=green,43.0,110.0
2019-03-31 18:27:54.442,actual=green,40.0,108.0
2019-03-31 18:27:54.942,actual=green,43.0,107.0
2019-03-31 18:27:55.442,actual=green,48.0,111.0
2019-03-31 18:27:55.942,actual=green,45.0,112.0
2019-03-31 18:27:56.442,actual=green,40.0,115.0
2019-03-31 18:27:56.942,actual=green,45.0,112.0
2019-03-31 18:27:57.442,actual=green,44.0,108.0
2019-03-31 18:27:57.942,actual=green,40.0,108.0
2019-03-31 18:27:58.442,actual=green,44.0,112.0
2019-03-31 18:27:58.942,actual=green,43.0,111.0
2019-03-31 18:27:59.442,actual=green,38.0,114.0
2019-03-31 18:27:59.942,actual=green,39.0,119.0
2019-03-31 18:28:00.442,actual=green,36.0,124.0
2019-03-31 18:28:00.942,actual=green,39.0,126.0
2019-03-31 18:28:01.442,actual=green,43.0,125.0
2019-03-31 18:28:01.942,actual=green,42.0,122.0
2019-03-31 18:28:02.442,actual=green,45.0,121.0
2019-03-31 18:28:02.942,actual=green,50.0,121.0
2019-03-31 18:28:03.442,actual=green,52.0,126.0
2019-03-31 18:28:03.942,actual=green,53.0,127.0
2019-03-31 18:28:04.442,actual=green,51.0,123.0
2019-03-31 18:28:04.942,actual=green,48.0,122.0
2019-03-31 18:28:05.442,actual=green,50.0,119.0
2019-03-31 18:28:05.942,actual=green,55.0,119.0
2019-03-31 18:28:06.442,actual=green,60.0,118.0
2019-03-31 18:28:06.942,actual=green,65.0,121.0
2019-03-31 18:28:07.442,actual=green,70.0,122.0
2019-03-31 18:28:07.942,actual=green,69.0,124.0
2019-03-31 18:28:08.442,actual=green,69.0,123.0
2019-03-31 18:28:08.942,actual=green,66.0,119.0
2019-03-31 18:28:09.442,actual=green,66.0,115.0
2019-03-31 18:28:09.942,actual=green,65.0,115.0
2019-03-31 18:28:10.442,actual=green,69.0,111.0
2019-03-31 18:28:10.942,actual=green,70.0,116.0
2019-03-31 18:28:11.442,actual=green,74.0,118.0
2019-03-31 18:28:11.942,actual=green,69.0,119.0
2019-03-31 18:28:12.442,actual=green,68.0,121.0
2019-03-31 18:28:12.942,actual=green,64.0,123.0
2019-03-31 18:28:13.442,actual=green,60.0,126.0
2019-03-31 18:28:13.942,actual=green,59.0,123.0
2019-03-31 18:28:14.442,actual=green,55.0,123.0
2019-03-31 18:28:14.942,actual=green,57.0,125.0
2019-03-31 18:28:15.442,actual=green,53.0,122.0
2019-03-31 18:28:15.942,actual=green,52.0,120.0
2019-03-31 18:28:16.442,actual=green,54.0,116.0
2019-03-31 18:28:16.942,actual=green,59.0,112.0
2019-03-31 18:28:17.442,actual=green,56.0,110.0
2019-03-31 18:28:17.942,actual=green,55.0,108.0
2019-03-31 18:28:18.442,actual=green,56.0,106.0
2019-03-31 18:28:18.942,actual=green,61.0,109.0
2019-03-31 18:28:19.442,actual=green,62.0,108.0
2019-03-31 18:28:19.942,actual=green,61.0,106.0
2019-03-31 18:28:20.442,actual=green,60.0,104.0
2019-03-31 18:28:20.942,actual=green,64.0,105.0
2019-03-31 18:28:21.442,actual=green,67.0,101.0
2019-03-31 18:28:21.942,actual=green,64.0,97.0
2019-03-31 18:28:22.442,actual=green,67.0,100.0
2019-03-31 18:28:22.942,actual=green,65.0,100.0
2019-03-31 18:28:23.442,actual=green,66.0,97.0
2019-03-31 18:28:23.942,actual=green,63.0,102.0
2019-03-31 18:28:24.442,actual=green,66.0,103.0
2019-03-31 18:28:24.942,actual=green,61.0,101.0
2019-03-31 18:28:25.442,actual=green,63.0,96.0
2019-03-31 18:28:25.942,actual=green,59.0,100.0
2019-03-31 18:28:26.442,actual=green,54.0,98.0
2019-03-31 18:28:26.942,actual=green,55.0,98.0
2019-03-31 18:28:27.442,actual=green,59.0,101.0
2019-03-31 18:28:27.942,actual=green,62.0,98.0
2019-03-31 18:28:28.442,actual=green,57.0,99.0
2019-03-31 18:28:28.942,actual=green,58.0,104.0
2019-03-31 18:28:29.442,actual=green,62.0,108.0
2019-03-31 18:28:29.942,actual=green,62.0,103.0
2019-03-31 18:28:30.442,actual=green,60.0,101.0
2019-03-31 18:28:30.942,actual=green,62.0,101.0
2019-03-31 18:28:31.442,actual=green,64.0,96.0
2019-03-31 18:28:31.942,actual=green,59.0,93.0
2019-03-31 18:28:32.442,actual=green,59.0,97.0
2019-03-31 18:28:32.942,actual=green,63.0,92.0
2019-03-31 18:28:33.442,actual=green,63.0,90.0
2019-03-31 18:28:33.942,actual=green,63.0,86.0
2019-03-31 18:28:34.442,actual=green,58.0,81.0
2019-03-31 18:28:34.942,actual=green,61.0,86.0
2019-03-31 18:28:35.442,actual=green,59.0,90.0
2019-03-31 18:28:35.942,actual=green,57.0,95.0
2019-03-31 18:28:36.442,actual=green,61.0,96.0
2019-03-31 18:28:36.942,actual=green,56.0,97.0
2019-03-31 18:28:37.442,actual=green,56.0,94.0
2019-03-31 18:28:37.942,actual=green,56.0,91.0
2019-03-31 18:28:38.442,actual=green,52.0,93.0
2019-03-31 18:28:38.942,actual=green,51.0,89.0
2019-03-31 18:28:39.442,actual=green,46.0,92.0
2019-03-31 18:28:39.942,actual=green,46.0,92.0
2019-03-31 18:28:40.442,actual=green,51.0,87.0
2019-03-31 18:28:40.942,actual=green,56.0,84.0
2019-03-31 18:28:41.442,actual=green,51.0,81.0
2019-03-31 18:28:41.942,actual=green,46.0,86.0
2019-03-31 18:28:42.442,actual=green,50.0,85.0
2019-03-31 18:28:42.942,actual=green,53.0,82.0
2019-03-31 18:28:43.442,actual=green,49.0,82.0
2019-03-31 18:28:43.942,actual=green,51.0,79.0
2019-03-31 18:28:44.442,actual=green,47.0,76.0
2019-03-31 18:28:44.942,actual=green,46.0,73.0
2019-03-31 18:28:45.442,actual=green,42.0,75.0
2019-03-31 18:28:45.942,actual=green,37.0,79.0
2019-03-31 18:28:46.442,actual=green,35.0,79.0
2019-03-31 18:28:46.942,actual=green,33.0,74.0
2019-03-31 18:28:47.442,actual=green,29.0,77.0
2019-03-31 18:28:47.942,actual=green,33.0,82.0
2019-03-31 18:28:48.442,actual=green,31.0,77.0
2019-03-31 18:28:48.942,actual=green,29.0,80.0
2019-03-31 18:28:49.442,actual=green,24.0,75.0
2019-03-31 18:28:49.942,actual=green,28.0,79.0
2019-03-31 18:28:50.442,actual=green,26.0,81.0
2019-03-31 18:28:50.942,actual=green,26.0,82.0
2019-03-31 18:28:51.442,actual=green,25.0,81.0
2019-03-31 18:28:51.942,actual=green,30.0,84.0
2019-03-31 18:28:52.442,actual=green,27.0,87.0
2019-03-31 18:28:52.942,actual=green,32.0,92.0
2019-03-31 18:28:53.442,actual=green,33.0,92.0
2019-03-31 18:28:53.942,actual=green,35.0,88.0
2019-03-31 18:28:54.442,actual=green,31.0,84.0
2019-03-31 18:28:54.942,actual=green,31.0,82.0
2019-03-31 18:28:55.442,actual=green,32.0,80.0
2019-03-31 18:28:55.942,actual=green,27.0,81.0
2019-03-31 18:28:56.442,actual=green,28.0,77.0
2019-03-31 18:28:56.942,actual=green,28.0,73.0
2019-03-31 18:28:57.442,actual=green,31.0,75.0
2019-03-31 18:28:57.942,actual=green,30.0,78.0
2019-03-31 18:28:58.442,actual=green,33.0,81.0
2019-03-31 18:28:58.942,actual=green,36.0,79.0
2019-03-31 18:28:59.442,actual=green,36.0,77.0
2019-03-31 18:28:59.942,actual=green,33.0,74.0
2019-03-31 18:29:00.442,actual=green,36.0,79.0
2019-03-31 18:29:00.942,actual=green,32.0,83.0
2019-03-31 18:29:01.442,actual=green,37.0,86.0
2019-03-31 18:29:01.942,actual=green,42.0,85.0
2019-03-31 18:29:02.442,actual=green,38.0,81.0
2019-03-31 18:29:02.942,actual=green,37.0,79.0
2019-03-31 18:29:03.442,actual=green,36.0,81.0
2019-03-31 18:29:03.942,actual=green,31.0,76.0
2019-03-31 18:29:04.442,actual=green,32.0,74.0
2019-03-31 18:29:04.942,actual=green,28.0,72.0
2019-03-31 18:29:05.442,actual=green,25.0,77.0
2019-03-31 18:29:05.942,actual=green,29.0,77.0
2019-03-31 18:29:06.442,actual=green,28.0,74.0
2019-03-31 18:29:06.942,actual=green,24.0,70.0
2019-03-31 18:29:07.442,actual=green,29.0,71.0
2019-03-31 18:29:07.942,actual=green,29.0,67.0
2019-03-31 18:29:08.442,actual=green,29.0,63.0
2019-03-31 18:29:08.942,actual=green,30.0,62.0
2019-03-31 18:29:09.442,actual=green,26.0,66.0
2019-03-31 18:29:09.942,actual=green,21.0,61.0
2019-03-31 18:29:10.442,actual=green,20.0,60.0
2019-03-31 18:29:10.942,actual=green,18.0,59.0
2019-03-31 18:29:11.442,actual=green,28.0,59.0
2019-03-31 18:29:11.942,actual=green,33.0,56.0
2019-03-31 18:29:12.442,actual=green,36.0,60.0
2019-03-31 18:29:12.942,actual=green,39.0,61.0
2019-03-31 18:29:13.442,actual=green,38.0,64.0
2019-03-31 18:29:13.942,actual=green,43.0,64.0
2019-03-31 18:29:14.442,actual=green,39.0,64.0
2019-03-31 18:29:14.942,actual=green,34.0,66.0
2019-03-31 18:29:15.442,actual=green,29.0,64.0
2019-03-31 18:29:15.942,actual=green,28.0,69.0
2019-03-31 18:29:16.442,actual=green,30.0,64.0
